Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
B	Inglaterra	5	John Stones	John Stones	Centre-Back	28	Manchester City	€30.00m
B	Inglaterra	6	Harry Maguire	Harry Maguire	Centre-Back	29	Manchester United	€30.00m
B	Inglaterra	15	Eric Dier	Eric Dier	Centre-Back	28	Tottenham Hotspur	€30.00m
B	Inglaterra	16	Conor Coady	Conor Coady	Centre-Back	29	Everton FC	€18.00m
B	Inglaterra	3	Luke Shaw	Luke Shaw	Left-Back	27	Manchester United	€28.00m
B	Inglaterra	18	Trent Alexander-Arnold	Trent Alexander-Arnold	Right-Back	24	Liverpool FC	€70.00m
B	Inglaterra	2	Kyle Walker	Kyle Walker	Right-Back	32	Manchester City	€15.00m
B	Inglaterra	12	Kieran Trippier	Kieran Trippier	Right-Back	32	Newcastle United	€13.00m
B	Inglaterra	4	Declan Rice	Declan Rice	Defensive Midfield	23	West Ham United	€80.00m
B	Inglaterra	14	Kalvin Phillips	Kalvin Phillips	Defensive Midfield	26	Manchester City	€45.00m
B	Inglaterra	20	Phil Foden	Phil Foden	Central Midfield	22	Manchester City	€110.00m
B	Inglaterra	22	Jude Bellingham	Jude Bellingham	Central Midfield	19	Borussia Dortmund	€100.00m
B	Inglaterra	26	Conor Gallagher	Conor Gallagher	Central Midfield	22	Chelsea FC	€32.00m
B	Inglaterra	8	Jordan Henderson	Jordan Henderson	Central Midfield	32	Liverpool FC	€15.00m
B	Inglaterra	17	Bukayo Saka	Bukayo Saka	Right Midfield	21	Arsenal FC	€90.00m
B	Inglaterra	19	Mason Mount	Mason Mount	Attacking Midfield	23	Chelsea FC	€75.00m
B	Inglaterra	25	James Maddison	James Maddison	Attacking Midfield	25	Leicester City	€55.00m
B	Inglaterra	7	Jack Grealish	Jack Grealish	Left Winger	27	Manchester City	€70.00m
B	Inglaterra	10	Raheem Sterling	Raheem Sterling	Left Winger	27	Chelsea FC	€70.00m
B	Inglaterra	11	Marcus Rashford	Marcus Rashford	Left Winger	25	Manchester United	€55.00m
B	Inglaterra	9	Harry Kane	Harry Kane	Centre-Forward	29	Tottenham Hotspur	€90.00m
B	Inglaterra	24	Callum Wilson	Callum Wilson	Centre-Forward	30	Newcastle United	€18.00m
B	Iran	22	Amir Abedzadeh	Amir Abedzadeh	Goalkeeper	29	SD Ponferradina	€1.50m
B	Iran	1	Alireza Beiranvand	Alireza Beiranvand	Goalkeeper	30	Persepolis FC	€1.00m
